Date,Hour,ARIMA,UCM,ML
2005-03-01,0,769.5687831475433,773.3964682892159,792.9225059691565
2005-03-01,1,750.7367654838826,746.7802427866508,769.2612036547158
2005-03-01,2,729.0944472659853,719.7140639832442,745.5999013402751
2005-03-01,3,720.5120646867259,707.5356490798858,736.0211070794575
2005-03-01,4,716.5607343640958,698.1835496479182,738.6090620200994
2005-03-01,5,710.3919402182132,685.2430212955753,743.7177522925355
2005-03-01,6,738.0530693196648,711.3061407585184,772.0844272263253
2005-03-01,7,784.6174596056844,757.9665936787873,836.7496909379502
2005-03-01,8,907.199328663132,881.2575824818549,1019.5534171996592
2005-03-01,9,930.2209536265228,904.4884518117312,1065.968557109095
2005-03-01,10,900.0272139450566,873.9007812463502,1013.6717014254732
2005-03-01,11,882.9667888074306,849.5683470158842,976.801745972431
2005-03-01,12,868.6796959484066,831.6198538320099,992.9008422914897
2005-03-01,13,894.2391977966272,853.393629752299,995.2199187967402
2005-03-01,14,897.5873010590533,845.7689367199958,982.44819311565
2005-03-01,15,893.4474097708534,834.0677309563109,949.7458534111744
2005-03-01,16,917.5909726462662,851.8761317025231,973.944912596398
2005-03-01,17,946.207032714108,868.0246901672068,988.2761332027582
2005-03-01,18,1008.9622571805309,921.5669421900046,1000.0597306337852
2005-03-01,19,1057.37227677926,953.8882883518512,1020.3264427014096
2005-03-01,20,1090.6121414545976,976.3620475502,1014.8480445803104
2005-03-01,21,1022.1725889982716,890.4804976757963,932.8989389436838
2005-03-01,22,992.1377777576388,853.6418790283375,864.1080717390224
2005-03-01,23,996.5505194207756,843.456801909179,869.3512012291542
2005-03-02,0,1008.8121423314344,849.5532989985948,973.1748688437438
2005-03-02,1,976.3443112622988,809.708200218179,983.8568575429356
2005-03-02,2,940.9314761574458,772.5938277780833,956.9805169922952
2005-03-02,3,922.8067631214824,753.7303235413776,904.8558395162928
2005-03-02,4,910.9209605550036,739.4506925538705,883.6917923876804
2005-03-02,5,896.5385314274556,722.5617324589825,876.5228641430356
2005-03-02,6,924.5616559292012,747.5801498396337,906.2267899375794
2005-03-02,7,975.6240311254296,794.6822462949319,965.006289250244
2005-03-02,8,1119.2314578082608,922.3050590107712,1144.6864788401244
2005-03-02,9,1139.7338402973376,945.41414238771,1161.8233591062074
2005-03-02,10,1095.7100943344026,912.6306292962644,1078.5666824801542
2005-03-02,11,1068.1106067013498,886.6869426332252,1055.1748409169509
2005-03-02,12,1044.2423443816083,867.6183816686731,1058.8592701741588
2005-03-02,13,1068.01161009496,890.128234053358,1045.0926430270722
2005-03-02,14,1065.3527439669456,882.0670159304065,1006.7060312310462
2005-03-02,15,1054.003480111999,869.8202730241312,984.7422630233498
2005-03-02,16,1075.7771194400143,888.3873289303104,988.6266225503286
2005-03-02,17,1102.504843397784,905.243336226584,1033.1939358289883
2005-03-02,18,1168.2170373140248,961.102137810966,1102.244138714459
2005-03-02,19,1216.7755397368237,994.8226072385646,1153.8832712495891
2005-03-02,20,1247.5577827065297,1018.25345686542,1196.7254719147963
2005-03-02,21,1163.1284804463862,928.6542199382742,1125.378927073671
2005-03-02,22,1122.8230329304113,890.1739021132254,1013.70359067303
2005-03-02,23,1121.497485195334,879.456179132122,973.3747991135148
2005-03-03,0,1128.9352489762985,885.6766716568175,1138.604702366673
2005-03-03,1,1086.8625548574944,843.9681169796207,1095.5781660853704
2005-03-03,2,1042.020641851315,805.0825563296255,1053.6839070746282
2005-03-03,3,1016.5898560934176,785.1902634833342,995.2717208227666
2005-03-03,4,998.2380871235443,770.0438301838863,956.7076890783792
2005-03-03,5,977.3945827094128,752.1522438403396,963.9675845190324
2005-03-03,6,1002.4635572010706,777.8399309286201,990.2097753779076
2005-03-03,7,1051.9627877857772,826.4274188124336,1066.1389570507947
2005-03-03,8,1199.4988684806171,958.6093250267076,1308.51289749609
2005-03-03,9,1215.1050901012843,982.024374375662,1369.5226610157083
2005-03-03,10,1162.5872432056135,947.3398556536504,1283.9358202703922
2005-03-03,11,1127.838093442119,919.7492520424726,1228.8538612848854
2005-03-03,12,1097.3524423572285,899.2787749574304,1194.419311350778
2005-03-03,13,1116.6737514775612,921.8561190797412,1223.1924749320824
2005-03-03,14,1108.525295973535,912.7168187085445,1221.8603840255405
2005-03-03,15,1091.5514478671284,899.222819588591,1203.5441340605898
2005-03-03,16,1108.685981415082,917.5366256839628,1233.382970367128
2005-03-03,17,1130.7451825129676,934.0070227153584,1309.6318538575852
2005-03-03,18,1192.1618999077398,990.6019530867206,1453.4443881278469
2005-03-03,19,1235.7409029865487,1024.2401911026448,1442.121615422241
2005-03-03,20,1261.1231520444794,1047.1790367586425,1400.2939609568257
2005-03-03,21,1171.1469701682854,953.9178737431612,1307.8135497701558
2005-03-03,22,1125.9295183410927,913.2873397660692,1230.1859521914275
2005-03-03,23,1119.816553489635,901.1702955900162,1190.223224995171
2005-03-04,0,1122.4748397388569,906.38593232582,1257.100564179006
2005-03-04,1,1076.478703255859,862.571796254814,1218.0541775111028
2005-03-04,2,1028.2005153707394,821.7271963290797,1153.7277584492367
2005-03-04,3,999.3177795050152,800.3275357996553,1120.5812378987364
2005-03-04,4,977.613191137575,783.7946913314449,1109.8899653587152
2005-03-04,5,953.729370077167,764.4972027218218,1106.2785321595777
2005-03-04,6,974.4301566130551,789.4666136784177,1142.893458851824
2005-03-04,7,1018.553470193599,837.5536441062183,1210.6167705267403
2005-03-04,8,1156.3377491854328,970.0761441359738,1489.4122621472914
2005-03-04,9,1167.3165200507194,992.2828434730516,1504.7161572881914
2005-03-04,10,1113.528632391618,955.7883956552448,1425.1573566141208
2005-03-04,11,1077.0327758343387,926.5369114425332,1404.9547847575593
2005-03-04,12,1044.895231010226,904.524839929001,1343.9895015443954
2005-03-04,13,1060.0205758444447,925.803115182606,1352.356584401803
2005-03-04,14,1049.339456673241,915.2048105362076,1340.4853386383013
2005-03-04,15,1030.5531613862931,900.2738865302451,1329.2219578687138
2005-03-04,16,1043.8805145069862,917.181162690592,1384.573429079258
2005-03-04,17,1061.848548569194,932.1943755949906,1419.786690609067
2005-03-04,18,1116.462931944658,987.1458316702336,1484.1202610238026
2005-03-04,19,1154.3846502170736,1019.0884327772494,1523.6672423925766
2005-03-04,20,1175.422807389788,1040.3081089042778,1580.5204977057322
2005-03-04,21,1089.9120248769646,946.2088692092494,1481.4027469333623
2005-03-04,22,1046.138177050644,904.5308393349766,1373.846399774889
2005-03-04,23,1038.6748066764117,891.186448069422,1382.2849961609927
2005-03-05,0,1039.4365753059744,895.0089815608846,1365.564777541955
2005-03-05,1,995.6381476131724,850.4909463776141,1322.98052510752
2005-03-05,2,949.9876089246438,809.0416369398754,1245.7806303498846
2005-03-05,3,922.348330662074,786.8450055071555,1222.0660466588522
2005-03-05,4,901.4648875093928,769.5064978998963,1183.5617226013692
2005-03-05,5,878.7471356607576,749.5240798889729,1147.9898470648204
2005-03-05,6,896.9544872438574,772.956738447257,1156.4046993422835
2005-03-05,7,936.6486944270356,818.9523217493895,1183.0517315542502
2005-03-05,8,1061.8637949320198,947.3054139803962,1277.017581985922
2005-03-05,9,1071.4337362384554,967.7703527601868,1307.87204033662
2005-03-05,10,1022.1028652976436,931.0358712335516,1284.7949454544869
2005-03-05,11,988.6827159062158,901.469739432042,1295.8872507293245
2005-03-05,12,959.3679211997152,879.0414449790303,1313.6094396167089
2005-03-05,13,973.2828575232176,898.7217991666326,1329.6741576009567
2005-03-05,14,963.789976341892,887.4844438890079,1348.5438263443586
2005-03-05,15,947.0196615293312,872.11068398839,1255.8529535304845
2005-03-05,16,959.684209031,887.6175567315656,1279.185043936178
2005-03-05,17,976.7269697985056,901.3032560395652,1330.4391441716348
2005-03-05,18,1027.418090428449,953.58618629912,1394.443020585067
2005-03-05,19,1063.0401590879144,983.6162378675492,1440.9797036346738
2005-03-05,20,1083.3992405553618,1003.3039045515516,1439.5772282550968
2005-03-05,21,1006.2539613412848,911.876940776677,1435.7522954017045
2005-03-05,22,967.3392581869437,871.1114981484315,1359.8911271427562
2005-03-05,23,961.8247073972012,857.7149042594998,1360.2736204280952
2005-03-06,0,963.9810456604728,860.892737715482,1397.6202542281248
2005-03-06,1,925.1314272545276,817.6401685149556,1343.835503178061
2005-03-06,2,884.5267573664146,777.4244535914677,1289.5285700789666
2005-03-06,3,860.548868898304,755.7802344949271,1229.8692709773177
2005-03-06,4,842.8368673604257,738.8599199920193,1199.19107559682
2005-03-06,5,823.426825851114,719.454895604664,1126.8688618061994
2005-03-06,6,842.1837038652905,741.7647732729623,1119.297222095268
2005-03-06,7,881.1782973156721,785.7559706635355,1126.2161342449124
2005-03-06,8,1000.4770756723586,908.7873617676198,1136.1375931764776
2005-03-06,9,1011.8903616264678,928.3526353444892,1172.9514276330751
2005-03-06,10,968.040160547822,893.1013260811936,1227.7805427811986
2005-03-06,11,939.0340790130527,864.7775345894378,1261.9834669926472
2005-03-06,12,913.8184589999152,843.3478912949909,1223.6030863889607
2005-03-06,13,929.5365524149984,862.3668064727426,1235.2216369798723
2005-03-06,14,923.1311812286392,851.7691967836572,1198.016165986503
2005-03-06,15,909.7976338362314,837.2442282908047,1207.9376249180682
2005-03-06,16,924.6039207965754,852.4140431085196,1202.0630768664837
2005-03-06,17,943.7444165322916,865.8933202549691,1197.7550749619882
2005-03-06,18,995.425991518384,916.5295729550928,1236.3965465901897
2005-03-06,19,1032.9068904302158,945.865483499074,1269.8161977280936
2005-03-06,20,1055.8759715333035,965.3329218953012,1303.7580309150271
2005-03-06,21,984.3118653614588,877.9003258442514,1199.0605300845623
2005-03-06,22,949.5532622901138,839.2090302270261,1166.2936065079457
2005-03-06,23,947.2542087898375,826.8932498277034,1206.5016242832364
2005-03-07,0,952.482537030362,830.592203841569,1180.7535619448254
2005-03-07,1,917.3717388586272,789.5054007106444,1150.5898094513022
2005-03-07,2,880.286689368855,751.3225636321746,1099.167997180584
2005-03-07,3,859.4369686771768,731.071504741676,1041.3666261851886
2005-03-07,4,844.6769188501106,715.3897559052381,1013.664783937766
2005-03-07,5,828.1113258244611,697.3006492140643,1003.3033529889616
2005-03-07,6,849.6736333283014,719.6769427974641,1047.0611316239945
2005-03-07,7,891.7044626591799,763.1893868771897,1102.764526931409
2005-03-07,8,1014.921173664624,883.6857655578514,1369.0361759835298
2005-03-07,9,1029.8082193504813,903.7670764923582,1366.2959628400445
2005-03-07,10,988.70493758854,870.4995272264842,1328.2326896438171
