Date,Hour,ARIMA,UCM,ML
2005-03-01,0,770,773,791
2005-03-01,1,751,747,768
2005-03-01,2,729,720,744
2005-03-01,3,721,708,734
2005-03-01,4,717,698,737
2005-03-01,5,710,685,742
2005-03-01,6,738,711,770
2005-03-01,7,785,758,835
2005-03-01,8,907,881,1017
2005-03-01,9,930,904,1064
2005-03-01,10,900,874,1011
2005-03-01,11,883,850,975
2005-03-01,12,869,832,991
2005-03-01,13,894,853,993
2005-03-01,14,898,846,980
2005-03-01,15,893,834,948
2005-03-01,16,918,852,972
2005-03-01,17,946,868,986
2005-03-01,18,1009,922,998
2005-03-01,19,1057,954,1018
2005-03-01,20,1091,976,1013
2005-03-01,21,1022,890,931
2005-03-01,22,992,854,862
2005-03-01,23,997,843,867
2005-03-02,0,1009,850,952
2005-03-02,1,976,810,962
2005-03-02,2,941,773,936
2005-03-02,3,923,754,885
2005-03-02,4,911,739,864
2005-03-02,5,897,723,857
2005-03-02,6,925,748,886
2005-03-02,7,976,795,944
2005-03-02,8,1119,922,1119
2005-03-02,9,1140,945,1136
2005-03-02,10,1096,913,1055
2005-03-02,11,1068,887,1032
2005-03-02,12,1044,868,1035
2005-03-02,13,1068,890,1022
2005-03-02,14,1065,882,984
2005-03-02,15,1054,870,963
2005-03-02,16,1076,888,967
2005-03-02,17,1103,905,1010
2005-03-02,18,1168,961,1078
2005-03-02,19,1217,995,1128
2005-03-02,20,1248,1018,1170
2005-03-02,21,1163,929,1100
2005-03-02,22,1123,890,991
2005-03-02,23,1121,879,952
2005-03-03,0,1129,886,1003
2005-03-03,1,1087,844,965
2005-03-03,2,1042,805,928
2005-03-03,3,1017,785,876
2005-03-03,4,998,770,843
2005-03-03,5,977,752,849
2005-03-03,6,1002,778,872
2005-03-03,7,1052,826,939
2005-03-03,8,1199,959,1152
2005-03-03,9,1215,982,1206
2005-03-03,10,1163,947,1131
2005-03-03,11,1128,920,1082
2005-03-03,12,1097,899,1052
2005-03-03,13,1117,922,1077
2005-03-03,14,1109,913,1076
2005-03-03,15,1092,899,1060
2005-03-03,16,1109,918,1086
2005-03-03,17,1131,934,1153
2005-03-03,18,1192,991,1280
2005-03-03,19,1236,1024,1270
2005-03-03,20,1261,1047,1233
2005-03-03,21,1171,954,1152
2005-03-03,22,1126,913,1083
2005-03-03,23,1120,901,1048
2005-03-04,0,1122,906,996
2005-03-04,1,1076,863,965
2005-03-04,2,1028,822,914
2005-03-04,3,999,800,888
2005-03-04,4,978,784,879
2005-03-04,5,954,764,877
2005-03-04,6,974,789,906
2005-03-04,7,1019,838,959
2005-03-04,8,1156,970,1180
2005-03-04,9,1167,992,1192
2005-03-04,10,1114,956,1129
2005-03-04,11,1077,927,1113
2005-03-04,12,1045,905,1065
2005-03-04,13,1060,926,1072
2005-03-04,14,1049,915,1062
2005-03-04,15,1031,900,1053
2005-03-04,16,1044,917,1097
2005-03-04,17,1062,932,1125
2005-03-04,18,1116,987,1176
2005-03-04,19,1154,1019,1207
2005-03-04,20,1175,1040,1252
2005-03-04,21,1090,946,1174
2005-03-04,22,1046,905,1089
2005-03-04,23,1039,891,1095
2005-03-05,0,1039,895,1085
2005-03-05,1,996,850,1052
2005-03-05,2,950,809,990
2005-03-05,3,922,787,971
2005-03-05,4,901,770,941
2005-03-05,5,879,750,913
2005-03-05,6,897,773,919
2005-03-05,7,937,819,940
2005-03-05,8,1062,947,1015
2005-03-05,9,1071,968,1040
2005-03-05,10,1022,931,1021
2005-03-05,11,989,901,1030
2005-03-05,12,959,879,1044
2005-03-05,13,973,899,1057
2005-03-05,14,964,887,1072
2005-03-05,15,947,872,998
2005-03-05,16,960,888,1017
